13:40:26.216 [main] INFO  c.n.F.FinalJournalApplication - Starting FinalJournalApplication using Java 24.0.1 with PID 11624 (C:\Users\ASUS\OneDrive\Desktop\FinalJournal\target\classes started by ASUS in C:\Users\ASUS\OneDrive\Desktop\FinalJournal)
13:40:26.224 [main] INFO  c.n.F.FinalJournalApplication - The following 1 profile is active: "dev"
13:40:29.607 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
13:40:29.749 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 125 ms. Found 2 MongoDB repository interfaces.
13:40:31.023 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
13:40:31.055 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
13:40:31.061 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
13:40:31.061 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.46]
13:40:31.197 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext
13:40:31.198 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4736 ms
13:40:31.900 [cluster-ClusterId{value='692b3e1f8b4f270b419df43d', description='Cluster0'}-srv-cluster0.epslmxz.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gsz50lo-shard-00-00.epslmxz.mongodb.net:27017 to client view of cluster
13:40:31.963 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.2.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/24.0.1+9-30"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='swapnaneellogin16', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@4d705112, com.mongodb.Jep395RecordCodecProvider@590765c4, com.mongodb.KotlinCodecProvider@19489b27]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.epslmxz.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-ldh0nc-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
13:40:31.976 [cluster-ClusterId{value='692b3e1f8b4f270b419df43d', description='Cluster0'}-srv-cluster0.epslmxz.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gsz50lo-shard-00-02.epslmxz.mongodb.net:27017 to client view of cluster
13:40:31.981 [cluster-ClusterId{value='692b3e1f8b4f270b419df43d', description='Cluster0'}-srv-cluster0.epslmxz.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-gsz50lo-shard-00-01.epslmxz.mongodb.net:27017 to client view of cluster
13:40:33.346 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29947 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-gsz50lo-shard-00-00.epslmxz.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-gsz50lo-shard-00-02.epslmxz.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-gsz50lo-shard-00-01.epslmxz.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
13:40:33.722 [cluster-ClusterId{value='692b3e1f8b4f270b419df43d', description='Cluster0'}-ac-gsz50lo-shard-00-02.epslmxz.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gsz50lo-shard-00-02.epslmxz.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=941635000, minRoundTripTimeNanos=0, setName='atlas-ldh0nc-shard-0', canonicalAddress=ac-gsz50lo-shard-00-02.epslmxz.mongodb.net:27017, hosts=[ac-gsz50lo-shard-00-02.epslmxz.mongodb.net:27017, ac-gsz50lo-shard-00-01.epslmxz.mongodb.net:27017, ac-gsz50lo-shard-00-00.epslmxz.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gsz50lo-shard-00-02.epslmxz.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='use1-az6'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000001bb, setVersion=148, topologyVersion=TopologyVersion{processId=691cbad057bec96f191b391c, counter=6}, lastWriteDate=Sat Nov 29 13:40:34 EST 2025, lastUpdateTimeNanos=2436731334100}
13:40:33.722 [cluster-ClusterId{value='692b3e1f8b4f270b419df43d', description='Cluster0'}-ac-gsz50lo-shard-00-01.epslmxz.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gsz50lo-shard-00-01.epslmxz.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=940443800, minRoundTripTimeNanos=0, setName='atlas-ldh0nc-shard-0', canonicalAddress=ac-gsz50lo-shard-00-01.epslmxz.mongodb.net:27017, hosts=[ac-gsz50lo-shard-00-02.epslmxz.mongodb.net:27017, ac-gsz50lo-shard-00-01.epslmxz.mongodb.net:27017, ac-gsz50lo-shard-00-00.epslmxz.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gsz50lo-shard-00-02.epslmxz.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='use1-az4'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=148, topologyVersion=TopologyVersion{processId=691cbcefd1392c3f02fe97cf, counter=3}, lastWriteDate=Sat Nov 29 13:40:34 EST 2025, lastUpdateTimeNanos=2436730151100}
13:40:33.722 [cluster-ClusterId{value='692b3e1f8b4f270b419df43d', description='Cluster0'}-ac-gsz50lo-shard-00-00.epslmxz.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-gsz50lo-shard-00-00.epslmxz.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=940443600, minRoundTripTimeNanos=0, setName='atlas-ldh0nc-shard-0', canonicalAddress=ac-gsz50lo-shard-00-00.epslmxz.mongodb.net:27017, hosts=[ac-gsz50lo-shard-00-02.epslmxz.mongodb.net:27017, ac-gsz50lo-shard-00-01.epslmxz.mongodb.net:27017, ac-gsz50lo-shard-00-00.epslmxz.mongodb.net:27017], passives=[], arbiters=[], primary='ac-gsz50lo-shard-00-02.epslmxz.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='use1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=148, topologyVersion=TopologyVersion{processId=691cb7fb9ce37c7211738094, counter=5}, lastWriteDate=Sat Nov 29 13:40:34 EST 2025, lastUpdateTimeNanos=2436730151200}
13:40:33.764 [cluster-ClusterId{value='692b3e1f8b4f270b419df43d', description='Cluster0'}-ac-gsz50lo-shard-00-02.epslmxz.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-gsz50lo-shard-00-02.epslmxz.mongodb.net:27017 with max election id 7fffffff00000000000001bb and max set version 148
